Time(s),Vehicle Name,Road Name,Travelled Distance (m),Speed(km/h),Steering Wheel Angle(-1..1),Acceleration(m/s^2),Accelerate (0..1),Brake (0..1),X Pos(m),Y Pos(m),Z Pos(m),Distance to the left border(m),Distance to the right border(m)
0.86821574319304,[user's car],,10.9760121832615,45.2593769073486,0,-0.054731585085392,0,0,4041.4998, 5544.7611, 3.0000,0.0000, 0.0000
0.890363045287506,[user's car],,11.2543802558085,45.2481777191162,0,-0.0547178238630295,0,0,4041.2966, 5544.6356, 3.0000,0.0000, 0.0000
0.899331743201965,[user's car],,11.3670911433121,45.2417060852051,0,-0.0543319620192051,0,0,4041.1790, 5544.5629, 3.0000,0.0000, 0.0000
0.919722165821398,[user's car],,11.6232702514216,45.2293121337891,0,-0.0546870455145836,0,0,4040.9546, 5544.4242, 3.0000,0.0000, 0.0000
0.941992186192632,[user's car],,11.9029911676933,45.217529296875,0,-0.0542959272861481,0,0,4040.7407, 5544.2921, 3.0000,0.0000, 0.0000
0.951212121888255,[user's car],,12.0187809110372,45.2110610961914,0,-0.0547591112554073,0,0,4040.6233, 5544.2196, 3.0000,0.0000, 0.0000
0.973695002688646,[user's car],,12.3010575816444,45.1986568450928,0,-0.0546510107815266,0,0,4040.3989, 5544.0809, 3.0000,0.0000, 0.0000
0.982950638246601,[user's car],,12.417247136195,45.1921852111816,0,-0.054259892553091,0,0,4040.2815, 5544.0084, 3.0000,0.0000, 0.0000
1.00312150671269,[user's car],,12.6703938861373,45.1804195404053,0,-0.0547178238630295,0,0,4040.0679, 5543.8764, 3.0000,0.0000, 0.0000
1.02476097826548,[user's car],,12.9419008672069,45.1686229705811,0,-0.0546064674854279,0,0,4039.8542, 5543.7445, 3.0000,0.0000, 0.0000
1.03407373360316,[user's car],,13.0587297832888,45.1621547698975,0,-0.0545927062630653,0,0,4039.7371, 5543.6720, 3.0000,0.0000, 0.0000
1.05585288086733,[user's car],,13.3318789632879,45.1503925323486,0,-0.0546732805669308,0,0,4039.5234, 5543.5402, 3.0000,0.0000, 0.0000
1.0650139117901,[user's car],,13.4467580286108,45.1438968658447,0,-0.0550506338477135,0,0,4039.4063, 5543.4677, 3.0000,0.0000, 0.0000
1.08504956702761,[user's car],,13.6979390899325,45.1321311950684,0,-0.0545566715300083,0,0,4039.1929, 5543.3358, 3.0000,0.0000, 0.0000
1.10649536682724,[user's car],,13.966728665815,45.1203723907471,0,-0.0550146028399467,0,0,4038.9795, 5543.2040, 3.0000,0.0000, 0.0000
1.11572690497812,[user's car],,14.0824164316959,45.1144706726074,0,-0.0550008378922939,0,0,4038.8728, 5543.1383, 3.0000,0.0000, 0.0000
1.13595132323771,[user's car],,14.3357953668738,45.1021213531494,0,-0.0541347749531269,0,0,4038.6492, 5542.9999, 3.0000,0.0000, 0.0000
1.15778580528849,[user's car],,14.609274536759,45.0903762817383,0,-0.054970059543848,0,0,4038.4360, 5542.8683, 3.0000,0.0000, 0.0000
1.16694772870782,[user's car],,14.7240120975695,45.0838977813721,0,-0.0545789413154125,0,0,4038.3186, 5542.7958, 3.0000,0.0000, 0.0000
1.18717527070536,[user's car],,14.9772617042577,45.0721389770508,0,-0.0540987439453602,0,0,4038.1057, 5542.6642, 3.0000,0.0000, 0.0000
1.19805524999944,[user's car],,15.1134599478635,45.0656810760498,0,-0.0544623322784901,0,0,4037.9885, 5542.5919, 3.0000,0.0000, 0.0000
1.21801281178809,[user's car],,15.3632284217741,45.0539257049561,0,-0.0540712177753448,0,0,4037.7756, 5542.4603, 3.0000,0.0000, 0.0000
1.24044482028466,[user's car],,15.6438876165497,45.0415798187256,0,-0.0540489442646503,0,0,4037.5520, 5542.3222, 3.0000,0.0000, 0.0000
